Model,Loss,R2 Score,learning_rate,loss(MAE),loss(MSE)
NeuralNet1,0.014450557840367159,0.9387988657269785,0.001,,0.014450557840367159
NeuralNet1,0.02678357447601027,0.9249240745392644,0.01,,0.02678357447601027
NeuralNet1,0.36910473306973773,-8.73010946911279e-06,0.1,,0.36910473306973773
NeuralNet2,0.013294970978879266,0.9433077052500448,0.001,,0.013294970978879266
NeuralNet2,0.01998120116897755,0.9381323252826392,0.01,,0.01998120116897755
NeuralNet2,0.35688360697693294,-0.04104223655056605,0.1,,0.35688360697693294
NeuralNet3,0.007618492986592982,0.9312379458958716,0.001,,0.007618492986592982
NeuralNet3,0.009411164921604924,0.9397289052488658,0.01,,0.009411164921604924
NeuralNet3,0.2755023025804096,0.1723038816424548,0.1,,0.2755023025804096
NeuralNet4,0.010307303862646222,0.9398727643134229,0.001,,0.010307303862646222
NeuralNet4,0.013260641031795077,0.9387971097163921,0.01,,0.013260641031795077
NeuralNet4,0.37829821474022335,-0.9445716077861921,0.1,,0.37829821474022335
